country,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
Afghanistan,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3280000,3290000,3290000,3300000,3300000,3310000,3320000,3320000,3330000,3340000,3350000,3360000,3380000,3390000,3400000,3420000,3430000,3450000,3470000,3480000,3500000,3520000,3540000,3550000,3570000,3590000,3610000,3630000,3640000,3660000,3680000,3700000,3720000,3730000,3750000,3770000,3790000,3810000,3830000,3840000,3860000,3870000,3890000,3910000,3920000,3940000,3960000,3970000,3990000,4010000,4030000,4050000,4070000,4080000,4110000,4130000,4150000,4170000,4190000,4220000,4240000,4260000,4290000,4310000,4340000,4360000,4390000,4420000,4450000,4480000,4500000,4530000,4560000,4590000,4620000,4650000,4680000,4710000,4740000,4770000,4800000,4830000,4860000,4890000,4930000,4960000,4990000,5020000,5050000,5090000,5120000,5150000,5180000,5220000,5250000,5280000,5320000,5350000,5390000,5420000,5460000,5500000,5550000,5600000,5650000,5700000,5760000,5810000,5870000,5930000,5980000,6040000,6100000,6160000,6210000,6270000,6330000,6390000,6460000,6520000,6580000,6640000,6710000,6770000,6840000,6900000,6970000,7030000,7100000,7170000,7240000,7310000,7380000,7450000,7520000,7590000,7660000,7750000,7840000,7930000,8040000,8150000,8270000,8400000,8540000,8680000,8830000,9000000,9170000,9350000,9530000,9730000,9940000,10200000,10400000,10600000,10900000,11100000,11400000,11700000,12000000,12300000,12600000,12800000,13100000,13200000,13300000,13200000,13100000,12700000,12400000,12000000,11800000,11600000,11500000,11500000,11800000,12200000,13000000,14000000,15100000,16200000,17100000,17800000,18400000,18900000,19400000,20100000,21000000,22000000,23100000,24100000,25100000,25900000,26600000,27300000,28000000,28800000,29700000,30700000,31700000,32800000,33700000,34700000,35500000,36400000,37200000,38100000,38900000,39800000,40600000,41500000,42400000,43300000,44100000,45000000,45800000,46700000,47600000,48400000,49200000,50100000,50900000,51700000,52500000,53300000,54100000,54900000,55700000,56400000,57200000,57900000,58600000,59300000,60000000,60700000,61300000,61900000,62500000,63100000,63700000,64300000,64800000,65400000,65900000,66400000,66800000,67300000,67700000,68200000,68600000,68900000,69300000,69700000,70000000,70300000,70600000,70800000,71100000,71300000,71500000,71700000,71800000,72000000,72100000,72200000,72300000,72300000,72400000,72400000,72400000,72400000,72400000,72300000,72300000,72200000,72100000,72000000,71900000,71800000,71600000,71500000,71300000,71200000,71000000,70800000,70600000,70400000
Albania,410000,412000,413000,414000,416000,417000,418000,420000,421000,422000,424000,425000,426000,428000,429000,431000,432000,434000,435000,437000,439000,440000,442000,444000,446000,448000,449000,451000,453000,455000,457000,459000,461000,463000,466000,468000,470000,472000,474000,476000,478000,480000,483000,485000,488000,491000,494000,497000,500000,503000,507000,511000,515000,519000,523000,528000,533000,537000,542000,547000,553000,558000,564000,569000,575000,581000,586000,592000,598000,604000,610000,616000,622000,628000,634000,641000,647000,653000,660000,666000,673000,679000,686000,692000,699000,706000,713000,720000,727000,734000,742000,749000,757000,764000,772000,780000,788000,796000,804000,812000,820000,828000,836000,844000,852000,860000,868000,876000,884000,893000,901000,910000,918000,926000,932000,938000,943000,949000,954000,959000,964000,969000,974000,979000,984000,989000,995000,1000000,1010000,1010000,1020000,1020000,1030000,1030000,1040000,1040000,1050000,1060000,1080000,1100000,1120000,1140000,1150000,1160000,1160000,1180000,1200000,1210000,1230000,1250000,1260000,1290000,1320000,1350000,1380000,1420000,1460000,1500000,1540000,1590000,1640000,1690000,1740000,1790000,1840000,1900000,1950000,2000000,2050000,2100000,2150000,2200000,2250000,2310000,2360000,2410000,2460000,2520000,2570000,2630000,2680000,2740000,2790000,2840000,2900000,2970000,3040000,3120000,3200000,3250000,3280000,3280000,3240000,3190000,3140000,3110000,3090000,3090000,3100000,3120000,3120000,3120000,3120000,3110000,3100000,3080000,3050000,3020000,2990000,2960000,2940000,2930000,2920000,2920000,2920000,2920000,2930000,2930000,2930000,2940000,2940000,2940000,2950000,2950000,2950000,2950000,2950000,2940000,2940000,2940000,2930000,2930000,2920000,2910000,2910000,2900000,2880000,2870000,2860000,2850000,2830000,2820000,2800000,2790000,2770000,2750000,2740000,2720000,2700000,2680000,2660000,2650000,2630000,2610000,2590000,2570000,2550000,2530000,2510000,2490000,2470000,2450000,2430000,2410000,2390000,2370000,2350000,2330000,2310000,2290000,2270000,2250000,2220000,2200000,2180000,2160000,2140000,2110000,2090000,2070000,2050000,2030000,2010000,1980000,1960000,1940000,1920000,1900000,1880000,1860000,1840000,1820000,1800000,1780000,1760000,1740000,1720000,1710000,1690000,1670000,1660000
Algeria,2500000,2510000,2520000,2530000,2540000,2550000,2560000,2570000,2580000,2590000,2600000,2600000,2610000,2630000,2640000,2650000,2660000,2670000,2690000,2700000,2710000,2730000,2740000,2760000,2770000,2790000,2810000,2820000,2840000,2860000,2880000,2900000,2920000,2940000,2960000,2980000,3000000,3020000,3040000,3060000,3080000,3100000,3120000,3150000,3170000,3190000,3210000,3230000,3250000,3280000,3300000,3320000,3350000,3370000,3390000,3420000,3440000,3460000,3490000,3510000,3540000,3560000,3590000,3610000,3640000,3670000,3690000,3720000,3750000,3780000,3810000,3840000,3870000,3900000,3930000,3970000,4000000,4030000,4070000,4110000,4140000,4180000,4220000,4250000,4290000,4330000,4370000,4410000,4450000,4490000,4530000,4570000,4610000,4650000,4690000,4730000,4770000,4820000,4860000,4900000,4950000,4990000,5030000,5080000,5120000,5170000,5220000,5260000,5310000,5360000,5400000,5450000,5500000,5560000,5620000,5690000,5770000,5840000,5910000,5990000,6060000,6140000,6220000,6300000,6380000,6460000,6540000,6620000,6710000,6790000,6880000,6960000,7050000,7140000,7230000,7320000,7410000,7510000,7600000,7700000,7800000,7900000,8000000,8100000,8200000,8300000,8410000,8510000,8620000,8730000,8870000,9040000,9220000,9410000,9610000,9830000,10100000,10300000,10600000,10800000,11100000,11400000,11700000,12000000,12300000,12600000,13000000,13400000,13700000,14100000,14600000,15000000,15400000,15800000,16200000,16700000,17200000,17700000,18200000,18800000,19300000,19900000,20600000,21200000,21900000,22600000,23200000,23900000,24600000,25300000,25900000,26600000,27200000,27800000,28400000,28900000,29400000,29900000,30300000,30800000,31200000,31600000,32000000,32400000,32800000,33300000,33800000,34300000,34900000,35500000,36100000,36800000,37600000,38300000,39100000,39900000,40600000,41300000,42000000,42700000,43300000,44000000,44600000,45200000,45800000,46300000,46800000,47400000,47900000,48300000,48800000,49300000,49700000,50200000,50600000,51100000,51500000,51900000,52400000,52800000,53200000,53700000,54100000,54600000,55000000,55400000,55800000,56300000,56700000,57100000,57400000,57800000,58200000,58500000,58800000,59100000,59400000,59600000,59900000,60100000,60300000,60500000,60700000,60800000,61000000,61100000,61300000,61400000,61500000,61600000,61700000,61800000,61900000,61900000,62000000,62100000,62200000,62200000,62300000,62400000,62400000,62500000,62500000,62600000,62600000,62700000,62700000,62700000,62800000,62800000,62800000,62800000,62800000,62800000,62800000,62800000,62800000,62700000,62700000,62600000,62600000
Andorra,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2660,2660,2660,2660,2670,2670,2680,2680,2690,2700,2710,2720,2730,2740,2760,2770,2790,2800,2820,2840,2850,2870,2890,2910,2930,2950,2970,2990,3010,3030,3050,3070,3090,3110,3130,3150,3170,3190,3210,3230,3250,3270,3290,3310,3330,3350,3370,3390,3410,3440,3460,3480,3500,3520,3540,3570,3590,3610,3630,3650,3680,3700,3720,3740,3770,3790,3810,3840,3860,3890,3910,3930,3960,3980,4010,4030,4060,4080,4110,4130,4160,4180,4210,4230,4260,4290,4310,4340,4370,4390,4420,4450,4470,4500,4530,4560,4590,4610,4640,4670,4700,4730,4760,4790,4820,4850,4880,4910,4940,4970,5010,5040,5070,5110,5140,5170,5210,5240,5270,5310,5340,5380,5410,5450,5480,5520,5560,5590,5630,5670,5700,5740,5780,5820,5850,5890,5930,5970,6010,6200,6690,7250,7870,8530,9230,9990,10800,11600,12500,13400,14400,15400,16400,17500,18500,19600,20800,21900,23100,24300,25600,26900,28200,29500,30700,31800,32800,33700,34800,36100,37500,39100,40900,42700,44600,46500,48500,50400,52400,54500,56700,58900,61000,62700,63900,64400,64300,64100,64400,65400,67300,70000,73200,76200,78900,81000,82700,83900,84500,84400,83800,82400,80800,79200,78000,77300,77000,77000,77100,77200,77300,77400,77500,77600,77800,77900,78000,78000,78100,78200,78200,78300,78300,78400,78400,78500,78500,78500,78600,78600,78500,78500,78400,78300,78200,78100,77900,77700,77400,77200,76900,76600,76200,75900,75500,75100,74600,74200,73700,73300,72800,72300,71900,71400,70900,70500,70100,69600,69200,68900,68500,68100,67800,67500,67200,66900,66600,66400,66200,66000,65800,65600,65400,65300,65100,65000,64800,64700,64600,64500,64300,64200,64100,63900,63800,63700,63500,63400,63300,63100
Angola,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1570000,1580000,1580000,1580000,1590000,1590000,1600000,1600000,1610000,1620000,1630000,1630000,1640000,1650000,1660000,1670000,1690000,1700000,1710000,1720000,1740000,1750000,1760000,1770000,1790000,1800000,1810000,1830000,1840000,1850000,1870000,1880000,1890000,1910000,1920000,1940000,1950000,1970000,1980000,2000000,2020000,2040000,2050000,2070000,2090000,2110000,2130000,2140000,2160000,2180000,2200000,2220000,2240000,2260000,2280000,2300000,2320000,2340000,2360000,2380000,2400000,2420000,2440000,2460000,2480000,2500000,2520000,2550000,2570000,2590000,2610000,2630000,2660000,2680000,2700000,2730000,2750000,2770000,2800000,2820000,2850000,2870000,2890000,2920000,2940000,2970000,3000000,3020000,3050000,3070000,3100000,3130000,3150000,3180000,3210000,3230000,3260000,3290000,3320000,3350000,3380000,3400000,3430000,3460000,3490000,3510000,3540000,3560000,3590000,3620000,3640000,3670000,3700000,3720000,3750000,3780000,3800000,3830000,3860000,3890000,3920000,3940000,3970000,4000000,4030000,4060000,4090000,4130000,4180000,4220000,4260000,4310000,4350000,4400000,4440000,4490000,4550000,4660000,4770000,4890000,5000000,5120000,5220000,5330000,5430000,5540000,5640000,5750000,5870000,5980000,6090000,6200000,6310000,6410000,6520000,6640000,6780000,6930000,7090000,7280000,7470000,7680000,7900000,8130000,8380000,8640000,8930000,9240000,9580000,9930000,10300000,10600000,10900000,11200000,11500000,11800000,12200000,12600000,13000000,13400000,13800000,14300000,14700000,15100000,15500000,15900000,16400000,17000000,17600000,18200000,18900000,19600000,20300000,21000000,21800000,22500000,23400000,24200000,25100000,26000000,26900000,27900000,28800000,29800000,30800000,31800000,32800000,33900000,35000000,36100000,37300000,38400000,39600000,40900000,42100000,43400000,44700000,46000000,47400000,48800000,50200000,51700000,53100000,54600000,56100000,57700000,59200000,60800000,62400000,64100000,65700000,67400000,69100000,70800000,72500000,74300000,76000000,77800000,79600000,81400000,83300000,85100000,87000000,88900000,90800000,92700000,94600000,96500000,98500000,100000000,102000000,104000000,106000000,108000000,110000000,112000000,114000000,116000000,118000000,120000000,122000000,124000000,126000000,129000000,131000000,133000000,135000000,137000000,139000000,141000000,143000000,145000000,147000000,148000000,150000000,152000000,154000000,156000000,158000000,160000000,162000000,164000000,166000000,167000000,169000000,171000000,173000000
Antigua and Barbuda,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,36900,36900,36800,36800,36700,36600,36500,36400,36300,36200,36100,36000,35900,35800,35700,35600,35500,35400,35400,35200,35200,35100,35100,35100,35100,35100,35200,35300,35400,35500,35600,35700,35900,36000,36100,36200,36300,36300,36300,36200,36100,36000,35800,35600,35400,35200,34900,34700,34400,34200,33900,33600,33300,33000,32700,32400,32100,31800,31600,31400,31200,31000,30800,30600,30400,30200,30000,30000,30200,30600,31000,31500,31900,32300,32800,33200,33600,34100,34600,35000,35500,36000,36500,37000,37500,38000,38500,39000,39500,40100,40600,41200,41900,42800,43800,44900,46300,48400,50000,51300,52200,52900,53400,53800,54200,54700,55300,56100,57100,58300,59500,60800,62100,63400,64700,65900,67100,68200,69200,70100,70900,71600,72300,72900,73300,73500,73400,73100,72400,71600,70700,69800,68800,67800,67100,66600,66700,67300,68400,69900,71700,73600,75600,77700,79900,81800,83600,85100,86300,87300,88300,89300,90300,91400,92500,93600,94700,95700,96800,97800,98900,99900,101000,102000,103000,104000,105000,106000,107000,108000,109000,110000,111000,112000,113000,114000,115000,115000,116000,117000,118000,118000,119000,120000,120000,121000,122000,122000,122000,123000,123000,124000,124000,124000,125000,125000,125000,125000,126000,126000,126000,126000,126000,126000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,127000,126000,126000,126000,126000,126000,125000,125000,125000,125000,125000,124000,124000,124000,124000,123000,123000,123000
Argentina,534000,534000,534000,534000,534000,534000,534000,534000,534000,534000,534000,535000,536000,538000,540000,544000,548000,552000,558000,564000,571000,578000,587000,596000,607000,618000,630000,642000,656000,671000,687000,703000,721000,738000,756000,775000,793000,813000,833000,853000,874000,895000,917000,939000,962000,986000,1010000,1030000,1060000,1090000,1110000,1140000,1170000,1200000,1230000,1260000,1290000,1320000,1350000,1390000,1420000,1460000,1490000,1530000,1570000,1620000,1660000,1710000,1750000,1800000,1860000,1910000,1970000,2020000,2080000,2140000,2210000,2270000,2340000,2420000,2490000,2570000,2650000,2730000,2810000,2910000,3000000,3090000,3190000,3290000,3400000,3510000,3630000,3750000,3880000,4010000,4140000,4280000,4430000,4590000,4760000,4930000,5090000,5290000,5490000,5700000,5910000,6120000,6360000,6600000,6850000,7110000,7380000,7640000,7880000,8070000,8230000,8380000,8530000,8690000,8880000,9120000,9400000,9720000,10100000,10400000,10700000,11000000,11300000,11600000,11900000,12200000,12400000,12600000,12800000,13100000,13300000,13500000,13700000,14000000,14200000,14400000,14700000,14900000,15100000,15400000,15700000,16000000,16300000,16800000,17200000,17500000,17900000,18200000,18600000,18900000,19300000,19600000,20000000,20300000,20600000,21000000,21300000,21600000,22000000,22300000,22600000,22900000,23300000,23600000,24000000,24400000,24800000,25200000,25600000,26100000,26500000,26900000,27300000,27700000,28100000,28500000,29000000,29500000,29900000,30400000,30900000,31300000,31800000,32300000,32700000,33200000,33700000,34100000,34600000,35000000,35400000,35800000,36200000,36600000,37100000,37500000,37900000,38300000,38700000,39100000,39600000,40000000,40400000,40800000,41200000,41700000,42100000,42500000,43000000,43400000,43800000,44300000,44700000,45100000,45500000,45900000,46300000,46700000,47100000,47500000,47900000,48200000,48600000,49000000,49300000,49700000,50000000,50400000,50700000,51000000,51400000,51700000,52000000,52300000,52600000,52900000,53200000,53400000,53700000,54000000,54300000,54500000,54800000,55000000,55200000,55500000,55700000,55900000,56100000,56300000,56500000,56700000,56800000,57000000,57100000,57300000,57400000,57600000,57700000,57800000,57900000,58000000,58100000,58200000,58200000,58300000,58300000,58400000,58400000,58500000,58500000,58500000,58500000,58600000,58600000,58600000,58600000,58600000,58500000,58500000,58500000,58500000,58400000,58400000,58400000,58300000,58300000,58200000,58200000,58100000,58000000,58000000,57900000,57800000,57700000
Armenia,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,414000,414000,414000,415000,416000,417000,418000,420000,422000,424000,426000,428000,430000,433000,436000,439000,442000,446000,450000,454000,458000,462000,466000,470000,475000,479000,483000,488000,492000,497000,501000,506000,511000,515000,520000,525000,530000,534000,539000,544000,549000,554000,559000,564000,570000,575000,580000,585000,591000,596000,601000,607000,612000,618000,624000,629000,635000,641000,647000,652000,658000,664000,670000,676000,683000,689000,695000,701000,708000,714000,720000,727000,733000,740000,747000,754000,760000,767000,774000,781000,788000,796000,803000,810000,817000,825000,832000,840000,848000,855000,863000,871000,879000,887000,895000,903000,911000,919000,928000,936000,945000,953000,962000,971000,979000,988000,997000,1010000,1020000,1030000,1030000,1040000,1050000,1060000,1070000,1080000,1090000,1100000,1110000,1120000,1130000,1140000,1150000,1160000,1180000,1190000,1200000,1210000,1220000,1230000,1240000,1250000,1260000,1280000,1290000,1300000,1310000,1320000,1340000,1350000,1380000,1420000,1460000,1510000,1560000,1620000,1680000,1740000,1810000,1870000,1940000,2010000,2080000,2140000,2210000,2280000,2340000,2400000,2460000,2530000,2590000,2650000,2710000,2770000,2830000,2890000,2940000,3000000,3050000,3100000,3150000,3190000,3240000,3290000,3340000,3390000,3450000,3500000,3540000,3540000,3510000,3440000,3360000,3280000,3220000,3170000,3130000,3110000,3090000,3070000,3050000,3030000,3020000,3000000,2980000,2960000,2930000,2910000,2890000,2880000,2880000,2880000,2890000,2910000,2920000,2920000,2930000,2930000,2940000,2940000,2940000,2940000,2940000,2940000,2930000,2930000,2930000,2920000,2910000,2910000,2900000,2890000,2880000,2880000,2870000,2860000,2850000,2840000,2830000,2820000,2810000,2800000,2790000,2780000,2760000,2750000,2740000,2730000,2710000,2700000,2690000,2670000,2660000,2640000,2620000,2610000,2590000,2570000,2560000,2540000,2520000,2500000,2490000,2470000,2450000,2430000,2410000,2390000,2380000,2360000,2340000,2320000,2300000,2280000,2260000,2250000,2230000,2210000,2190000,2170000,2150000,2130000,2120000,2100000,2080000,2060000,2050000,2030000,2010000,2000000,1980000,1970000,1950000,1930000,1920000,1910000,1890000,1880000,1860000,1850000
Australia,351000,350000,349000,348000,348000,347000,346000,345000,344000,343000,342000,341000,340000,340000,339000,338000,337000,336000,335000,335000,334000,334000,333000,334000,334000,335000,337000,338000,341000,344000,348000,354000,360000,367000,374000,382000,390000,399000,409000,421000,434000,449000,467000,488000,514000,544000,578000,615000,656000,699000,743000,787000,831000,877000,926000,977000,1030000,1080000,1140000,1200000,1260000,1310000,1360000,1410000,1460000,1510000,1550000,1590000,1640000,1680000,1720000,1770000,1820000,1860000,1910000,1960000,2020000,2060000,2120000,2180000,2250000,2320000,2400000,2480000,2560000,2650000,2740000,2830000,2920000,3010000,3090000,3170000,3250000,3320000,3390000,3450000,3520000,3580000,3630000,3690000,3740000,3800000,3850000,3910000,3960000,4020000,4090000,4140000,4210000,4300000,4410000,4520000,4670000,4810000,4920000,4960000,4970000,4990000,5070000,5200000,5350000,5470000,5590000,5710000,5830000,5950000,6070000,6190000,6310000,6400000,6470000,6530000,6590000,6640000,6690000,6740000,6800000,6850000,6920000,6980000,7050000,7120000,7180000,7250000,7320000,7400000,7490000,7600000,7750000,7950000,8180000,8410000,8620000,8820000,9010000,9210000,9420000,9640000,9860000,10100000,10300000,10500000,10700000,10900000,11100000,11400000,11600000,11900000,12300000,12600000,12800000,13100000,13300000,13500000,13700000,13800000,14000000,14200000,14300000,14500000,14600000,14800000,15000000,15300000,15500000,15700000,16000000,16300000,16500000,16800000,17000000,17300000,17500000,17700000,17900000,18100000,18300000,18500000,18700000,18900000,19100000,19300000,19500000,19700000,19900000,20200000,20600000,20900000,21300000,21700000,22100000,22500000,22800000,23200000,23500000,23800000,24100000,24500000,24800000,25100000,25400000,25700000,26000000,26300000,26600000,26900000,27100000,27400000,27700000,28000000,28200000,28500000,28800000,29000000,29300000,29500000,29800000,30000000,30300000,30500000,30800000,31000000,31300000,31500000,31700000,32000000,32200000,32500000,32700000,32900000,33200000,33400000,33700000,33900000,34100000,34300000,34600000,34800000,35000000,35200000,35400000,35600000,35800000,36000000,36200000,36400000,36600000,36800000,37000000,37200000,37400000,37500000,37700000,37900000,38100000,38200000,38400000,38600000,38700000,38900000,39100000,39200000,39400000,39500000,39700000,39800000,40000000,40100000,40300000,40400000,40600000,40700000,40800000,41000000,41100000,41200000,41400000,41500000,41600000,41700000,41800000
